City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,west plains,36.7281,-91.8524,7.46,76,0,2.06,US,1707995531
295,kilindoni,-7.9139,39.6668,29.18,73,62,7.77,TZ,1707995532
296,akjoujt,19.6969,-14.4164,32.22,16,0,6.37,MR,1707995533
297,tocache,-8.1842,-76.5125,21.91,100,100,0.35,PE,1707995533
298,las heras,-46.5419,-68.9359,16.73,56,25,7.63,AR,1707995534
299,utrik,11.2278,169.8474,25.9,80,28,10.03,MH,1707995535
300,villa gesell,-37.2639,-56.973,21.14,79,100,3.92,AR,1707995535
301,isheyevka,54.4167,48.2667,-20.27,93,23,2.83,RU,1707995536
302,chegdomyn,51.1167,133.0167,-27.13,95,83,1.57,RU,1707995536
303,kolonia,50.9333,6.95,16.6,80,0,4.63,DE,1707995281
304,qandala,11.472,49.8728,28.16,62,4,5.77,SO,1707995537
305,beni,0.5,29.4667,28.79,40,100,1.74,CD,1707995538
306,queenstown,-31.8976,26.8753,35.48,9,65,11.41,ZA,1707995539
307,sheridan,44.8333,-106.9173,-3.72,89,100,4.12,US,1707995540
308,lompoc,34.6391,-120.4579,11.23,87,100,4.63,US,1707995541
309,le grazie di ancona,43.6008,13.5153,15.56,60,14,2.06,IT,1707995541
310,pecanha,-18.5486,-42.5569,21.17,88,98,0.91,BR,1707995542
311,kasempa,-13.4584,25.8338,30.44,37,99,1.59,ZM,1707995542
312,ca mau,9.1769,105.15,28.48,64,48,6.16,VN,1707995456
313,horsham,51.064,-0.3272,14.94,78,0,3.09,GB,1707995543
314,tsiombe,-25.3,45.4833,31.02,59,98,6.88,MG,1707995545
315,axim,4.8699,-2.2405,30.67,69,99,3.81,GH,1707995546
316,vilyuysk,63.7553,121.6247,-33.89,100,97,0.89,RU,1707995547
317,ancud,-41.8697,-73.8203,11.11,81,66,2.4,CL,1707995548
318,inyati,-19.6756,28.8469,34.14,13,1,0.65,ZW,1707995548
319,alenquer,-1.9417,-54.7383,23.97,94,52,1.22,BR,1707995549
320,leava,-14.3,-178.1667,28.52,81,62,5.8,WF,1707995487
321,zalla,43.2333,-3.1333,18.03,50,0,5.14,ES,1707995550
322,inarajan village,13.2736,144.7484,27.08,94,100,9.75,GU,1707995550
323,jamestown,42.097,-79.2353,-5.16,100,0,2.06,US,1707995550
324,metlili chaamba,32.2667,3.6333,21.06,26,100,4.1,DZ,1707995551
325,sars,56.5502,57.1366,-19.66,83,6,3.13,RU,1707995552
326,qarawul,37.2202,68.7804,20.96,16,99,1.71,AF,1707995552
327,zlatni pyasatsi,43.285,28.0418,9.31,64,75,15.43,BG,1707995553
328,altai,46.3722,96.2583,-6.99,59,98,9.58,MN,1707995553
329,kokopo,-4.352,152.2633,26.76,82,100,2.14,PG,1707995554
330,prince albert,53.2001,-105.7677,-21.73,98,74,1.89,CA,1707995555
331,california city,35.1258,-117.9859,10.32,69,0,3.6,US,1707995556
332,cho dok,10.7,105.1167,32.41,39,17,1.94,VN,1707995558
